author,total_votes
ThalwilGirls\n,-50
mrf167\n,-50
ac5895\n,-50
dkato24\n,-50
clpnyc\n,-50
carlkent\n,-50
burogal\n,-50
Esquimaux\n,-50
queenflyer\n,-50
HERSCH\n,-50
Hugger\n,-50
Justlovecoffee\n,-50
supercoupe\n,-50
coffeeloverxD1\n,-50
BigLesCov\n,-50
svensgirl\n,-50
